drugId,diseaseId,drugName,drugSource,diseaseName,diseaseSource,display_relations,indication,contraindication,off_label
DB00056,18874_4643,Gemtuzumab ozogamicin,DrugBank,myeloid leukemia,MONDO_grouped,indication,1,0,0
DB00056,19457,Gemtuzumab ozogamicin,DrugBank,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO,indication,1,0,0
DB00056,20320,Gemtuzumab ozogamicin,DrugBank,acute myeloblastic leukemia with maturation,MONDO,indication,1,0,0
DB00056,5223,Gemtuzumab ozogamicin,DrugBank,acute myeloid leukemia with minimal differentiation,MONDO,indication,1,0,0
DB00056,5224,Gemtuzumab ozogamicin,DrugBank,acute myeloblastic leukemia without maturation,MONDO,indication,1,0,0
DB00063,10120_8555_14837_8556_30867_14536_12775_10743_2049_4680,Eptifibatide,DrugBank,thrombocytopenia,MONDO_grouped,contraindication,0,1,0
DB00063,5542,Eptifibatide,DrugBank,acute coronary syndrome,MONDO,indication,1,0,0
DB00065,11849,Infliximab,DrugBank,psoriatic arthritis,MONDO,indication,1,0,0
DB00065,5011_5535,Infliximab,DrugBank,Crohn disease,MONDO_grouped,indication,1,0,0
DB00065,5101,Infliximab,DrugBank,ulcerative colitis (disease),MONDO,indication,1,0,0
DB00065,5306_20655,Infliximab,DrugBank,ankylosing spondylitis,MONDO_grouped,indication,1,0,0
DB00065,5532,Infliximab,DrugBank,Crohn's colitis,MONDO,indication,1,0,0
DB00065,7126_8468_24512_13192,Infliximab,DrugBank,"spondyloarthropathy, susceptibility to",MONDO_grouped,indication,1,0,0
DB00065,8383,Infliximab,DrugBank,rheumatoid arthritis,MONDO,indication,1,0,0
DB00065,9960_12845_33643_11471_12831_12875_12941_13153_8617_54849_5265_12832_12610_12840_11087_11521_11661_11699_11700_11701_12040_12829_12837_12838_12841_12852_12886_12887_12940_12973_13012,Infliximab,DrugBank,inflammatory bowel disease,MONDO_grouped,indication,1,0,0
DB00099,15134,Filgrastim,DrugBank,constitutional neutropenia,MONDO,indication,1,0,0
DB00099,8090,Filgrastim,DrugBank,cyclic hematopoiesis,MONDO,indication,1,0,0
DB00099,8742_18542_28226,Filgrastim,DrugBank,severe congenital neutropenia,MONDO_grouped,indication,1,0,0
DB00100,10604_10602_15720_15719_18660_15721_15715_15716_15717,Coagulation Factor IX (Recombinant),DrugBank,hemophilia,MONDO_grouped,indication,1,0,0
DB00100,15787_15788,Coagulation Factor IX (Recombinant),DrugBank,symptomatic form of hemophilia in female carriers,MONDO_grouped,indication,1,0,0
DB00107,1200_1134_15512_5080_100078,Oxytocin,DrugBank,hypertension,MONDO_grouped,contraindication,0,1,0
DB00107,5044,Oxytocin,DrugBank,hypertensive disorder,MONDO,contraindication,0,1,0
DB00107,6663,Oxytocin,DrugBank,asphyxia neonatorum,MONDO,contraindication,0,1,0
DB00108,5011_5535,Natalizumab,DrugBank,Crohn disease,MONDO_grouped,indication,1,0,0
DB00108,5301,Natalizumab,DrugBank,multiple sclerosis,MONDO,indication,1,0,0
DB00108,5532,Natalizumab,DrugBank,Crohn's colitis,MONDO,indication,1,0,0
DB00108,9960_12845_33643_11471_12831_12875_12941_13153_8617_54849_5265_12832_12610_12840_11087_11521_11661_11699_11700_11701_12040_12829_12837_12838_12841_12852_12886_12887_12940_12973_13012,Natalizumab,DrugBank,inflammatory bowel disease,MONDO_grouped,indication,1,0,0
DB00112,14695_24498_13093_100242_13092_11800_13094_13095_13096_13097,Bevacizumab,DrugBank,glioma susceptibility,MONDO_grouped,indication,1,0,0
DB00112,16266,Bevacizumab,DrugBank,squamous cell carcinoma of the corpus uteri,MONDO,indication,1,0,0
DB00112,16267,Bevacizumab,DrugBank,undifferentiated carcinoma of the corpus uteri,MONDO,indication,1,0,0
DB00112,16419,Bevacizumab,DrugBank,hereditary breast carcinoma,MONDO,indication,1,0,0
DB00112,18177,Bevacizumab,DrugBank,glioblastoma (disease),MONDO,indication,1,0,0
DB00112,21100,Bevacizumab,DrugBank,breast neoplasm,MONDO,indication,1,0,0
DB00112,2974,Bevacizumab,DrugBank,cervical cancer,MONDO,indication,1,0,0
DB00112,3582,Bevacizumab,DrugBank,hereditary breast ovarian cancer syndrome,MONDO,indication,1,0,0
DB00112,5153,Bevacizumab,DrugBank,cervical adenocarcinoma,MONDO,indication,1,0,0
DB00112,7254,Bevacizumab,DrugBank,breast cancer,MONDO,indication,1,0,0
DB00115,1245,Cyanocobalamin,DrugBank,microcytic anemia,MONDO,indication,1,0,0
DB00115,1356,Cyanocobalamin,DrugBank,iron deficiency anemia,MONDO,indication,1,0,0
DB00115,1357_387,Cyanocobalamin,DrugBank,hypochromic anemia,MONDO_grouped,indication,1,0,0
DB00115,1639,Cyanocobalamin,DrugBank,deficiency anemia,MONDO,indication,1,0,0
DB00115,2012,Cyanocobalamin,DrugBank,methylmalonic acidemia,MONDO,off-label use,0,0,1
DB00115,4737,Cyanocobalamin,DrugBank,homocystinuria (disease),MONDO,off-label use,0,0,1
DB00118,1200_1134_15512_5080_100078,Ademetionine,DrugBank,hypertension,MONDO_grouped,contraindication,0,1,0
DB00118,12819,Ademetionine,DrugBank,diabetic ketoacidosis,MONDO,contraindication,0,1,0
DB00118,1336,Ademetionine,DrugBank,familial hyperlipidemia,MONDO,contraindication,0,1,0
DB00118,21187_11237_11470,Ademetionine,DrugBank,hyperlipidemia,MONDO_grouped,contraindication,0,1,0
DB00118,5015,Ademetionine,DrugBank,diabetes mellitus (disease),MONDO,contraindication,0,1,0
DB00118,5044,Ademetionine,DrugBank,hypertensive disorder,MONDO,contraindication,0,1,0
DB00120,1566,Phenylalanine,DrugBank,hypercalcemia disease,MONDO,contraindication,0,1,0
DB00120,1567,Phenylalanine,DrugBank,nephrocalcinosis,MONDO,contraindication,0,1,0
DB00120,17306,Phenylalanine,DrugBank,disorder of phenylalanine metabolism,MONDO,contraindication,0,1,0
DB00120,190,Phenylalanine,DrugBank,ventricular fibrillation (disease),MONDO,contraindication,0,1,0
DB00120,2319,Phenylalanine,DrugBank,phosphorus metabolism disease,MONDO,contraindication,0,1,0
DB00120,24327,Phenylalanine,DrugBank,chronic renal failure syndrome,MONDO,contraindication,0,1,0
DB00120,4375,Phenylalanine,DrugBank,end stage renal failure,MONDO,contraindication,0,1,0
DB00120,5240,Phenylalanine,DrugBank,kidney disease,MONDO,contraindication,0,1,0
DB00120,5267,Phenylalanine,DrugBank,heart disease,MONDO,contraindication,0,1,0
DB00120,5300,Phenylalanine,DrugBank,chronic kidney disease,MONDO,contraindication,0,1,0
DB00120,9861_19259_16366_19258,Phenylalanine,DrugBank,phenylketonuria,MONDO_grouped,contraindication,0,1,0
DB00121,11628,Biotin,DrugBank,propionic acidemia,MONDO,off-label use,0,0,1
DB00121,1566,Biotin,DrugBank,hypercalcemia disease,MONDO,contraindication,0,1,0
DB00121,1567,Biotin,DrugBank,nephrocalcinosis,MONDO,contraindication,0,1,0
DB00121,2203,Biotin,DrugBank,constipation disorder,MONDO,contraindication,0,1,0
DB00121,2319,Biotin,DrugBank,phosphorus metabolism disease,MONDO,contraindication,0,1,0
DB00121,24570_7767_6964_1530_1741_10837_16166_12406_21132,Biotin,DrugBank,hyperparathyroidism,MONDO_grouped,contraindication,0,1,0
DB00121,5240,Biotin,DrugBank,kidney disease,MONDO,contraindication,0,1,0
DB00121,5890,Biotin,DrugBank,osteitis fibrosa,MONDO,contraindication,0,1,0
DB00121,9666,Biotin,DrugBank,holocarboxylase synthetase deficiency,MONDO,off-label use,0,0,1
DB00126,10200,Ascorbic acid,DrugBank,Wilson disease,MONDO,contraindication,0,1,0
DB00126,11382,Ascorbic acid,DrugBank,sickle cell anemia,MONDO,contraindication,0,1,0
DB00126,11786_5324_24332,Ascorbic acid,DrugBank,allergic rhinitis,MONDO_grouped,contraindication,0,1,0
DB00126,1200_1134_15512_5080_100078,Ascorbic acid,DrugBank,hypertension,MONDO_grouped,contraindication,0,1,0
DB00126,12819,Ascorbic acid,DrugBank,diabetic ketoacidosis,MONDO,contraindication,0,1,0
DB00126,1336,Ascorbic acid,DrugBank,familial hyperlipidemia,MONDO,contraindication,0,1,0
DB00126,1436,Ascorbic acid,DrugBank,hemosiderosis,MONDO,contraindication,0,1,0
DB00126,1566,Ascorbic acid,DrugBank,hypercalcemia disease,MONDO,contraindication,0,1,0
DB00126,1567,Ascorbic acid,DrugBank,nephrocalcinosis,MONDO,contraindication,0,1,0
DB00126,16122,Ascorbic acid,DrugBank,periodic paralysis (disease),MONDO,contraindication,0,1,0
DB00126,19725,Ascorbic acid,DrugBank,pediatric systemic lupus erythematosus,MONDO,contraindication,0,1,0
DB00126,20989,Ascorbic acid,DrugBank,hereditary persistence of fetal hemoglobin,MONDO,contraindication,0,1,0
DB00126,21187_11237_11470,Ascorbic acid,DrugBank,hyperlipidemia,MONDO_grouped,contraindication,0,1,0
DB00126,2203,Ascorbic acid,DrugBank,constipation disorder,MONDO,contraindication,0,1,0
DB00126,2279,Ascorbic acid,DrugBank,iron metabolism disease,MONDO,contraindication,0,1,0
DB00126,2319,Ascorbic acid,DrugBank,phosphorus metabolism disease,MONDO,contraindication,0,1,0
DB00126,24570_7767_6964_1530_1741_10837_16166_12406_21132,Ascorbic acid,DrugBank,hyperparathyroidism,MONDO_grouped,contraindication,0,1,0
DB00126,3019,Ascorbic acid,DrugBank,potassium deficiency disease,MONDO,contraindication,0,1,0
DB00126,4979,Ascorbic acid,DrugBank,asthma,MONDO,contraindication,0,1,0
DB00126,5015,Ascorbic acid,DrugBank,diabetes mellitus (disease),MONDO,contraindication,0,1,0
DB00126,5027,Ascorbic acid,DrugBank,epilepsy,MONDO,contraindication,0,1,0
DB00126,5044,Ascorbic acid,DrugBank,hypertensive disorder,MONDO,contraindication,0,1,0
DB00126,5059,Ascorbic acid,DrugBank,leukemia (disease),MONDO,contraindication,0,1,0
DB00126,5101,Ascorbic acid,DrugBank,ulcerative colitis (disease),MONDO,contraindication,0,1,0
DB00126,5109,Ascorbic acid,DrugBank,HIV infectious disease,MONDO,contraindication,0,1,0
DB00126,5240,Ascorbic acid,DrugBank,kidney disease,MONDO,contraindication,0,1,0
DB00126,5301,Ascorbic acid,DrugBank,multiple sclerosis,MONDO,contraindication,0,1,0
DB00126,5890,Ascorbic acid,DrugBank,osteitis fibrosa,MONDO,contraindication,0,1,0
DB00126,6004,Ascorbic acid,DrugBank,vasomotor rhinitis,MONDO,contraindication,0,1,0
DB00126,6507,Ascorbic acid,DrugBank,hereditary hemochromatosis,MONDO,contraindication,0,1,0
DB00126,7915,Ascorbic acid,DrugBank,systemic lupus erythematosus (disease),MONDO,contraindication,0,1,0
DB00126,8383,Ascorbic acid,DrugBank,rheumatoid arthritis,MONDO,contraindication,0,1,0
DB00126,9960_12845_33643_11471_12831_12875_12941_13153_8617_54849_5265_12832_12610_12840_11087_11521_11661_11699_11700_11701_12040_12829_12837_12838_12841_12852_12886_12887_12940_12973_13012,Ascorbic acid,DrugBank,inflammatory bowel disease,MONDO_grouped,contraindication,0,1,0
DB00133,1265,Serine,DrugBank,schizophreniform disorder,MONDO,contraindication,0,1,0
DB00133,12819,Serine,DrugBank,diabetic ketoacidosis,MONDO,contraindication,0,1,0
DB00133,1442,Serine,DrugBank,dysthymic disorder,MONDO,contraindication,0,1,0
DB00133,1566,Serine,DrugBank,hypercalcemia disease,MONDO,contraindication,0,1,0
DB00133,1567,Serine,DrugBank,nephrocalcinosis,MONDO,contraindication,0,1,0
DB00133,17306,Serine,DrugBank,disorder of phenylalanine metabolism,MONDO,contraindication,0,1,0
DB00133,190,Serine,DrugBank,ventricular fibrillation (disease),MONDO,contraindication,0,1,0
DB00133,2319,Serine,DrugBank,phosphorus metabolism disease,MONDO,contraindication,0,1,0
DB00133,24327,Serine,DrugBank,chronic renal failure syndrome,MONDO,contraindication,0,1,0
DB00133,4375,Serine,DrugBank,end stage renal failure,MONDO,contraindication,0,1,0
DB00133,5015,Serine,DrugBank,diabetes mellitus (disease),MONDO,contraindication,0,1,0
DB00133,5027,Serine,DrugBank,epilepsy,MONDO,contraindication,0,1,0
DB00133,5084,Serine,DrugBank,mental disorder,MONDO,contraindication,0,1,0
DB00133,5240,Serine,DrugBank,kidney disease,MONDO,contraindication,0,1,0
DB00133,5267,Serine,DrugBank,heart disease,MONDO,contraindication,0,1,0
DB00133,5300,Serine,DrugBank,chronic kidney disease,MONDO,contraindication,0,1,0
DB00133,5379,Serine,DrugBank,neurotic disorder,MONDO,contraindication,0,1,0
DB00133,5487,Serine,DrugBank,schizoaffective disorder,MONDO,contraindication,0,1,0
DB00133,7079_2491_4938_2046_5367_5689_4456_5186,Serine,DrugBank,substance abuse/dependence,MONDO_grouped,contraindication,0,1,0
DB00133,8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384,Serine,DrugBank,anxiety disorder,MONDO_grouped,contraindication,0,1,0
DB00133,9861_19259_16366_19258,Serine,DrugBank,phenylketonuria,MONDO_grouped,contraindication,0,1,0
DB00134,1200_1134_15512_5080_100078,Methionine,DrugBank,hypertension,MONDO_grouped,contraindication,0,1,0
DB00134,12819,Methionine,DrugBank,diabetic ketoacidosis,MONDO,contraindication,0,1,0
DB00134,1336,Methionine,DrugBank,familial hyperlipidemia,MONDO,contraindication,0,1,0
DB00134,1566,Methionine,DrugBank,hypercalcemia disease,MONDO,contraindication,0,1,0
DB00134,1567,Methionine,DrugBank,nephrocalcinosis,MONDO,contraindication,0,1,0
DB00134,17306,Methionine,DrugBank,disorder of phenylalanine metabolism,MONDO,contraindication,0,1,0
DB00134,190,Methionine,DrugBank,ventricular fibrillation (disease),MONDO,contraindication,0,1,0
DB00134,21187_11237_11470,Methionine,DrugBank,hyperlipidemia,MONDO_grouped,contraindication,0,1,0
DB00134,2319,Methionine,DrugBank,phosphorus metabolism disease,MONDO,contraindication,0,1,0
DB00134,24327,Methionine,DrugBank,chronic renal failure syndrome,MONDO,contraindication,0,1,0
DB00134,4375,Methionine,DrugBank,end stage renal failure,MONDO,contraindication,0,1,0
DB00134,5015,Methionine,DrugBank,diabetes mellitus (disease),MONDO,contraindication,0,1,0
DB00134,5044,Methionine,DrugBank,hypertensive disorder,MONDO,contraindication,0,1,0
DB00134,5240,Methionine,DrugBank,kidney disease,MONDO,contraindication,0,1,0
DB00134,5267,Methionine,DrugBank,heart disease,MONDO,contraindication,0,1,0
DB00134,5300,Methionine,DrugBank,chronic kidney disease,MONDO,contraindication,0,1,0
DB00134,9861_19259_16366_19258,Methionine,DrugBank,phenylketonuria,MONDO_grouped,contraindication,0,1,0
DB00136,10619_10358_20720,Calcitriol,DrugBank,hereditary hypophosphatemic rickets,MONDO_grouped,off-label use,0,0,1
DB00136,1068,Calcitriol,DrugBank,osteomalacia (disease),MONDO,off-label use,0,0,1
DB00136,1566,Calcitriol,DrugBank,hypercalcemia disease,MONDO,indication | contraindication,1,1,0
DB00136,1567,Calcitriol,DrugBank,nephrocalcinosis,MONDO,indication | contraindication,1,1,0
DB00136,20578,Calcitriol,DrugBank,obsolete vitamin D deficiency,MONDO,off-label use,0,0,1
DB00136,2319,Calcitriol,DrugBank,phosphorus metabolism disease,MONDO,indication | contraindication,1,1,0
DB00136,313,Calcitriol,DrugBank,hypophosphatemia (disease),MONDO,indication,1,0,0
DB00136,5240,Calcitriol,DrugBank,kidney disease,MONDO,contraindication,0,1,0
DB00136,5520,Calcitriol,DrugBank,rickets (disease),MONDO,off-label use,0,0,1
DB00146,1068,Calcifediol,DrugBank,osteomalacia (disease),MONDO,indication | off-label use,1,0,1
DB00146,1566,Calcifediol,DrugBank,hypercalcemia disease,MONDO,indication | contraindication,1,1,0
DB00146,1567,Calcifediol,DrugBank,nephrocalcinosis,MONDO,indication | contraindication,1,1,0
DB00146,20578,Calcifediol,DrugBank,obsolete vitamin D deficiency,MONDO,off-label use,0,0,1
DB00146,2319,Calcifediol,DrugBank,phosphorus metabolism disease,MONDO,indication | contraindication,1,1,0
DB00146,313,Calcifediol,DrugBank,hypophosphatemia (disease),MONDO,indication,1,0,0
DB00146,5240,Calcifediol,DrugBank,kidney disease,MONDO,contraindication,0,1,0
DB00146,5520,Calcifediol,DrugBank,rickets (disease),MONDO,indication | off-label use,1,0,1
DB00153,10200,Ergocalciferol,DrugBank,Wilson disease,MONDO,contraindication,0,1,0
DB00153,10619_10358_20720,Ergocalciferol,DrugBank,hereditary hypophosphatemic rickets,MONDO_grouped,indication,1,0,0
DB00153,1068,Ergocalciferol,DrugBank,osteomalacia (disease),MONDO,indication,1,0,0
DB00153,11382,Ergocalciferol,DrugBank,sickle cell anemia,MONDO,contraindication,0,1,0
DB00153,11962,Ergocalciferol,DrugBank,endometrial cancer,MONDO,contraindication,0,1,0
DB00153,1200_1134_15512_5080_100078,Ergocalciferol,DrugBank,hypertension,MONDO_grouped,contraindication,0,1,0
DB00153,12819,Ergocalciferol,DrugBank,diabetic ketoacidosis,MONDO,contraindication,0,1,0
DB00153,1336,Ergocalciferol,DrugBank,familial hyperlipidemia,MONDO,contraindication,0,1,0
DB00153,1409,Ergocalciferol,DrugBank,esophagitis (disease),MONDO,contraindication,0,1,0
DB00153,1436,Ergocalciferol,DrugBank,hemosiderosis,MONDO,contraindication,0,1,0
DB00153,1566,Ergocalciferol,DrugBank,hypercalcemia disease,MONDO,indication | contraindication,1,1,0
DB00153,1567,Ergocalciferol,DrugBank,nephrocalcinosis,MONDO,indication | contraindication,1,1,0
DB00153,1656,Ergocalciferol,DrugBank,megaesophagus,MONDO,contraindication,0,1,0
DB00153,19635,Ergocalciferol,DrugBank,idiopathic achalasia,MONDO,contraindication,0,1,0
DB00153,20578,Ergocalciferol,DrugBank,obsolete vitamin D deficiency,MONDO,indication,1,0,0
DB00153,20989,Ergocalciferol,DrugBank,hereditary persistence of fetal hemoglobin,MONDO,contraindication,0,1,0
DB00153,21187_11237_11470,Ergocalciferol,DrugBank,hyperlipidemia,MONDO_grouped,contraindication,0,1,0
DB00153,21251,Ergocalciferol,DrugBank,endometrium neoplasm,MONDO,contraindication,0,1,0
DB00153,2203,Ergocalciferol,DrugBank,constipation disorder,MONDO,contraindication,0,1,0
DB00153,2279,Ergocalciferol,DrugBank,iron metabolism disease,MONDO,contraindication,0,1,0
DB00153,2319,Ergocalciferol,DrugBank,phosphorus metabolism disease,MONDO,indication | contraindication,1,1,0
DB00153,24570_7767_6964_1530_1741_10837_16166_12406_21132,Ergocalciferol,DrugBank,hyperparathyroidism,MONDO_grouped,contraindication,0,1,0
DB00153,2974,Ergocalciferol,DrugBank,cervical cancer,MONDO,contraindication,0,1,0
DB00153,4981,Ergocalciferol,DrugBank,atrial fibrillation (disease),MONDO,contraindication,0,1,0
DB00153,5015,Ergocalciferol,DrugBank,diabetes mellitus (disease),MONDO,contraindication,0,1,0
DB00153,5044,Ergocalciferol,DrugBank,hypertensive disorder,MONDO,contraindication,0,1,0
DB00153,5159,Ergocalciferol,DrugBank,prostate carcinoma,MONDO,contraindication,0,1,0
DB00153,5240,Ergocalciferol,DrugBank,kidney disease,MONDO,contraindication,0,1,0
DB00153,5298,Ergocalciferol,DrugBank,osteoporosis,MONDO,indication,1,0,0
DB00153,5520,Ergocalciferol,DrugBank,rickets (disease),MONDO,indication,1,0,0
DB00153,5890,Ergocalciferol,DrugBank,osteitis fibrosa,MONDO,contraindication,0,1,0
DB00153,6507,Ergocalciferol,DrugBank,hereditary hemochromatosis,MONDO,contraindication,0,1,0
DB00153,6896,Ergocalciferol,DrugBank,peptic esophagitis,MONDO,contraindication,0,1,0
DB00153,7186,Ergocalciferol,DrugBank,gastroesophageal reflux disease,MONDO,contraindication,0,1,0
DB00153,8159,Ergocalciferol,DrugBank,postmenopausal osteoporosis,MONDO,indication,1,0,0
DB00153,8315,Ergocalciferol,DrugBank,prostate cancer,MONDO,contraindication,0,1,0
DB00153,8698,Ergocalciferol,DrugBank,achalasia (disease),MONDO,contraindication,0,1,0
DB00159,10200,Icosapent,DrugBank,Wilson disease,MONDO,contraindication,0,1,0
DB00159,12819,Icosapent,DrugBank,diabetic ketoacidosis,MONDO,contraindication,0,1,0
