drugId,targetId,drugName,drugSource,targetName,targetSource,display_relations,target,enzyme,transporter,carrier
DB00107,5020,Oxytocin,DrugBank,OXT,NCBI,target,1,0,0,0
DB00108,2209,Natalizumab,DrugBank,FCGR1A,NCBI,target,1,0,0,0
DB00108,3383,Natalizumab,DrugBank,ICAM1,NCBI,target,1,0,0,0
DB00112,2209,Bevacizumab,DrugBank,FCGR1A,NCBI,target,1,0,0,0
DB00112,2212,Bevacizumab,DrugBank,FCGR2A,NCBI,target,1,0,0,0
DB00112,713,Bevacizumab,DrugBank,C1QB,NCBI,target,1,0,0,0
DB00112,7422,Bevacizumab,DrugBank,VEGFA,NCBI,target,1,0,0,0
DB00115,25974,Cyanocobalamin,DrugBank,MMACHC,NCBI,target,1,0,0,0
DB00115,4552,Cyanocobalamin,DrugBank,MTRR,NCBI,target,1,0,0,0
DB00115,4594,Cyanocobalamin,DrugBank,MMUT,NCBI,target,1,0,0,0
DB00118,1312,Ademetionine,DrugBank,COMT,NCBI,target,1,0,0,0
DB00118,4143,Ademetionine,DrugBank,MAT1A,NCBI,target,1,0,0,0
DB00118,875,Ademetionine,DrugBank,CBS,NCBI,target,1,0,0,0
DB00120,5053,Phenylalanine,DrugBank,PAH,NCBI,target,1,0,0,0
DB00120,7054,Phenylalanine,DrugBank,TH,NCBI,target,1,0,0,0
DB00121,3141,Biotin,DrugBank,HLCS,NCBI,target,1,0,0,0
DB00121,5095,Biotin,DrugBank,PCCA,NCBI,target,1,0,0,0
DB00121,5096,Biotin,DrugBank,PCCB,NCBI,target,1,0,0,0
DB00126,1621,Ascorbic acid,DrugBank,DBH,NCBI,target,1,0,0,0
DB00126,5066,Ascorbic acid,DrugBank,PAM,NCBI,target,1,0,0,0
DB00133,875,Serine,DrugBank,CBS,NCBI,target,1,0,0,0
DB00134,4552,Methionine,DrugBank,MTRR,NCBI,target,1,0,0,0
DB00134,635,Methionine,DrugBank,BHMT,NCBI,target,1,0,0,0
DB00136,7421,Calcitriol,DrugBank,VDR,NCBI,target,1,0,0,0
DB00146,7421,Calcifediol,DrugBank,VDR,NCBI,target,1,0,0,0
DB00153,7421,Ergocalciferol,DrugBank,VDR,NCBI,target,1,0,0,0
DB00153,773,Ergocalciferol,DrugBank,CACNA1A,NCBI,target,1,0,0,0
DB00153,775,Ergocalciferol,DrugBank,CACNA1C,NCBI,target,1,0,0,0
DB00153,776,Ergocalciferol,DrugBank,CACNA1D,NCBI,target,1,0,0,0
DB00153,779,Ergocalciferol,DrugBank,CACNA1S,NCBI,target,1,0,0,0
DB00153,783,Ergocalciferol,DrugBank,CACNB2,NCBI,target,1,0,0,0
DB00153,785,Ergocalciferol,DrugBank,CACNB4,NCBI,target,1,0,0,0
DB00153,8912,Ergocalciferol,DrugBank,CACNA1H,NCBI,target,1,0,0,0
DB00153,9254,Ergocalciferol,DrugBank,CACNA2D2,NCBI,target,1,0,0,0
DB00159,5465,Icosapent,DrugBank,PPARA,NCBI,target,1,0,0,0
DB00159,5467,Icosapent,DrugBank,PPARD,NCBI,target,1,0,0,0
DB00159,5468,Icosapent,DrugBank,PPARG,NCBI,target,1,0,0,0
DB00159,5742,Icosapent,DrugBank,PTGS1,NCBI,target,1,0,0,0
DB00159,5743,Icosapent,DrugBank,PTGS2,NCBI,target,1,0,0,0
DB00159,7442,Icosapent,DrugBank,TRPV1,NCBI,target,1,0,0,0
DB00162,216,Vitamin A,DrugBank,ALDH1A1,NCBI,target,1,0,0,0
DB00162,9227,Vitamin A,DrugBank,LRAT,NCBI,target,1,0,0,0
DB00169,7421,Cholecalciferol,DrugBank,VDR,NCBI,target,1,0,0,0
DB00175,3066,Pravastatin,DrugBank,HDAC2,NCBI,target,1,0,0,0
DB00175,3156,Pravastatin,DrugBank,HMGCR,NCBI,target,1,0,0,0
DB00176,3757,Fluvoxamine,DrugBank,KCNH2,NCBI,target,1,0,0,0
DB00176,6532,Fluvoxamine,DrugBank,SLC6A4,NCBI,target,1,0,0,0
DB00177,185,Valsartan,DrugBank,AGTR1,NCBI,target,1,0,0,0
DB00178,1636,Ramipril,DrugBank,ACE,NCBI,target,1,0,0,0
DB00181,2550,Baclofen,DrugBank,GABBR1,NCBI,target,1,0,0,0
DB00182,146,Amphetamine,DrugBank,ADRA1D,NCBI,target,1,0,0,0
DB00182,147,Amphetamine,DrugBank,ADRA1B,NCBI,target,1,0,0,0
DB00182,148,Amphetamine,DrugBank,ADRA1A,NCBI,target,1,0,0,0
DB00182,150,Amphetamine,DrugBank,ADRA2A,NCBI,target,1,0,0,0
DB00182,152,Amphetamine,DrugBank,ADRA2C,NCBI,target,1,0,0,0
DB00182,153,Amphetamine,DrugBank,ADRB1,NCBI,target,1,0,0,0
DB00182,154,Amphetamine,DrugBank,ADRB2,NCBI,target,1,0,0,0
DB00182,155,Amphetamine,DrugBank,ADRB3,NCBI,target,1,0,0,0
DB00182,1813,Amphetamine,DrugBank,DRD2,NCBI,target,1,0,0,0
DB00182,4128,Amphetamine,DrugBank,MAOA,NCBI,target,1,0,0,0
DB00182,4129,Amphetamine,DrugBank,MAOB,NCBI,target,1,0,0,0
DB00182,6530,Amphetamine,DrugBank,SLC6A2,NCBI,target,1,0,0,0
DB00182,6531,Amphetamine,DrugBank,SLC6A3,NCBI,target,1,0,0,0
DB00182,6532,Amphetamine,DrugBank,SLC6A4,NCBI,target,1,0,0,0
DB00182,6571,Amphetamine,DrugBank,SLC18A2,NCBI,target,1,0,0,0
DB00182,9607,Amphetamine,DrugBank,CARTPT,NCBI,target,1,0,0,0
DB00184,1135,Nicotine,DrugBank,CHRNA2,NCBI,target,1,0,0,0
DB00184,1136,Nicotine,DrugBank,CHRNA3,NCBI,target,1,0,0,0
DB00184,1137,Nicotine,DrugBank,CHRNA4,NCBI,target,1,0,0,0
DB00184,1138,Nicotine,DrugBank,CHRNA5,NCBI,target,1,0,0,0
DB00184,1139,Nicotine,DrugBank,CHRNA7,NCBI,target,1,0,0,0
DB00184,1141,Nicotine,DrugBank,CHRNB2,NCBI,target,1,0,0,0
DB00184,1142,Nicotine,DrugBank,CHRNB3,NCBI,target,1,0,0,0
DB00184,1143,Nicotine,DrugBank,CHRNB4,NCBI,target,1,0,0,0
DB00184,1588,Nicotine,DrugBank,CYP19A1,NCBI,target,1,0,0,0
DB00184,8973,Nicotine,DrugBank,CHRNA6,NCBI,target,1,0,0,0
DB00186,2554,Lorazepam,DrugBank,GABRA1,NCBI,target,1,0,0,0
DB00186,2555,Lorazepam,DrugBank,GABRA2,NCBI,target,1,0,0,0
DB00186,2556,Lorazepam,DrugBank,GABRA3,NCBI,target,1,0,0,0
DB00186,2557,Lorazepam,DrugBank,GABRA4,NCBI,target,1,0,0,0
DB00186,2558,Lorazepam,DrugBank,GABRA5,NCBI,target,1,0,0,0
DB00186,2559,Lorazepam,DrugBank,GABRA6,NCBI,target,1,0,0,0
DB00186,2560,Lorazepam,DrugBank,GABRB1,NCBI,target,1,0,0,0
DB00186,2561,Lorazepam,DrugBank,GABRB2,NCBI,target,1,0,0,0
DB00186,2562,Lorazepam,DrugBank,GABRB3,NCBI,target,1,0,0,0
DB00186,2563,Lorazepam,DrugBank,GABRD,NCBI,target,1,0,0,0
DB00186,2565,Lorazepam,DrugBank,GABRG1,NCBI,target,1,0,0,0
DB00186,2566,Lorazepam,DrugBank,GABRG2,NCBI,target,1,0,0,0
DB00186,2567,Lorazepam,DrugBank,GABRG3,NCBI,target,1,0,0,0
DB00186,2568,Lorazepam,DrugBank,GABRP,NCBI,target,1,0,0,0
DB00186,55879,Lorazepam,DrugBank,GABRQ,NCBI,target,1,0,0,0
DB00189,2554,Ethchlorvynol,DrugBank,GABRA1,NCBI,target,1,0,0,0
DB00189,2555,Ethchlorvynol,DrugBank,GABRA2,NCBI,target,1,0,0,0
DB00189,2556,Ethchlorvynol,DrugBank,GABRA3,NCBI,target,1,0,0,0
DB00189,2557,Ethchlorvynol,DrugBank,GABRA4,NCBI,target,1,0,0,0
DB00189,2558,Ethchlorvynol,DrugBank,GABRA5,NCBI,target,1,0,0,0
DB00189,2559,Ethchlorvynol,DrugBank,GABRA6,NCBI,target,1,0,0,0
DB00189,2560,Ethchlorvynol,DrugBank,GABRB1,NCBI,target,1,0,0,0
DB00189,2561,Ethchlorvynol,DrugBank,GABRB2,NCBI,target,1,0,0,0
DB00189,2562,Ethchlorvynol,DrugBank,GABRB3,NCBI,target,1,0,0,0
DB00189,2563,Ethchlorvynol,DrugBank,GABRD,NCBI,target,1,0,0,0
DB00189,2565,Ethchlorvynol,DrugBank,GABRG1,NCBI,target,1,0,0,0
DB00189,2566,Ethchlorvynol,DrugBank,GABRG2,NCBI,target,1,0,0,0
DB00189,2567,Ethchlorvynol,DrugBank,GABRG3,NCBI,target,1,0,0,0
DB00189,2568,Ethchlorvynol,DrugBank,GABRP,NCBI,target,1,0,0,0
DB00189,55879,Ethchlorvynol,DrugBank,GABRQ,NCBI,target,1,0,0,0
DB00190,1644,Carbidopa,DrugBank,DDC,NCBI,target,1,0,0,0
DB00191,4128,Phentermine,DrugBank,MAOA,NCBI,target,1,0,0,0
DB00191,4129,Phentermine,DrugBank,MAOB,NCBI,target,1,0,0,0
DB00191,4852,Phentermine,DrugBank,NPY,NCBI,target,1,0,0,0
DB00191,6530,Phentermine,DrugBank,SLC6A2,NCBI,target,1,0,0,0
DB00191,6531,Phentermine,DrugBank,SLC6A3,NCBI,target,1,0,0,0
DB00191,6532,Phentermine,DrugBank,SLC6A4,NCBI,target,1,0,0,0
DB00193,1128,Tramadol,DrugBank,CHRM1,NCBI,target,1,0,0,0
DB00193,1131,Tramadol,DrugBank,CHRM3,NCBI,target,1,0,0,0
DB00193,116443,Tramadol,DrugBank,GRIN3A,NCBI,target,1,0,0,0
DB00193,134,Tramadol,DrugBank,ADORA1,NCBI,target,1,0,0,0
DB00193,150,Tramadol,DrugBank,ADRA2A,NCBI,target,1,0,0,0
DB00193,152,Tramadol,DrugBank,ADRA2C,NCBI,target,1,0,0,0
DB00193,2902,Tramadol,DrugBank,GRIN1,NCBI,target,1,0,0,0
DB00193,2903,Tramadol,DrugBank,GRIN2A,NCBI,target,1,0,0,0
DB00193,2904,Tramadol,DrugBank,GRIN2B,NCBI,target,1,0,0,0
DB00193,2905,Tramadol,DrugBank,GRIN2C,NCBI,target,1,0,0,0
DB00193,2906,Tramadol,DrugBank,GRIN2D,NCBI,target,1,0,0,0
DB00193,3358,Tramadol,DrugBank,HTR2C,NCBI,target,1,0,0,0
DB00193,4985,Tramadol,DrugBank,OPRD1,NCBI,target,1,0,0,0
DB00193,4986,Tramadol,DrugBank,OPRK1,NCBI,target,1,0,0,0
DB00193,4988,Tramadol,DrugBank,OPRM1,NCBI,target,1,0,0,0
DB00193,6326,Tramadol,DrugBank,SCN2A,NCBI,target,1,0,0,0
DB00193,6530,Tramadol,DrugBank,SLC6A2,NCBI,target,1,0,0,0
DB00193,6532,Tramadol,DrugBank,SLC6A4,NCBI,target,1,0,0,0
DB00193,6869,Tramadol,DrugBank,TACR1,NCBI,target,1,0,0,0
DB00193,7442,Tramadol,DrugBank,TRPV1,NCBI,target,1,0,0,0
DB00195,153,Betaxolol,DrugBank,ADRB1,NCBI,target,1,0,0,0
DB00195,154,Betaxolol,DrugBank,ADRB2,NCBI,target,1,0,0,0
DB00197,2101,Troglitazone,DrugBank,ESRRA,NCBI,target,1,0,0,0
DB00197,2950,Troglitazone,DrugBank,GSTP1,NCBI,target,1,0,0,0
DB00197,5465,Troglitazone,DrugBank,PPARA,NCBI,target,1,0,0,0
DB00197,5467,Troglitazone,DrugBank,PPARD,NCBI,target,1,0,0,0
DB00197,5468,Troglitazone,DrugBank,PPARG,NCBI,target,1,0,0,0
DB00199,3757,Erythromycin,DrugBank,KCNH2,NCBI,target,1,0,0,0
DB00200,25974,Hydroxocobalamin,DrugBank,MMACHC,NCBI,target,1,0,0,0
DB00200,4594,Hydroxocobalamin,DrugBank,MMUT,NCBI,target,1,0,0,0
DB00201,10846,Caffeine,DrugBank,PDE10A,NCBI,target,1,0,0,0
DB00201,134,Caffeine,DrugBank,ADORA1,NCBI,target,1,0,0,0
DB00201,135,Caffeine,DrugBank,ADORA2A,NCBI,target,1,0,0,0
DB00201,140,Caffeine,DrugBank,ADORA3,NCBI,target,1,0,0,0
DB00201,3710,Caffeine,DrugBank,ITPR3,NCBI,target,1,0,0,0
DB00201,472,Caffeine,DrugBank,ATM,NCBI,target,1,0,0,0
DB00201,50940,Caffeine,DrugBank,PDE11A,NCBI,target,1,0,0,0
DB00201,5137,Caffeine,DrugBank,PDE1C,NCBI,target,1,0,0,0
DB00201,5139,Caffeine,DrugBank,PDE3A,NCBI,target,1,0,0,0
DB00201,5141,Caffeine,DrugBank,PDE4A,NCBI,target,1,0,0,0
DB00201,5142,Caffeine,DrugBank,PDE4B,NCBI,target,1,0,0,0
DB00201,5144,Caffeine,DrugBank,PDE4D,NCBI,target,1,0,0,0
DB00201,5153,Caffeine,DrugBank,PDE1B,NCBI,target,1,0,0,0
DB00201,5591,Caffeine,DrugBank,PRKDC,NCBI,target,1,0,0,0
DB00201,6261,Caffeine,DrugBank,RYR1,NCBI,target,1,0,0,0
DB00201,8622,Caffeine,DrugBank,PDE8B,NCBI,target,1,0,0,0
DB00204,3757,Dofetilide,DrugBank,KCNH2,NCBI,target,1,0,0,0
DB00206,6570,Reserpine,DrugBank,SLC18A1,NCBI,target,1,0,0,0
DB00206,6571,Reserpine,DrugBank,SLC18A2,NCBI,target,1,0,0,0
DB00215,3269,Citalopram,DrugBank,HRH1,NCBI,target,1,0,0,0
DB00215,6532,Citalopram,DrugBank,SLC6A4,NCBI,target,1,0,0,0
DB00222,3767,Glimepiride,DrugBank,KCNJ11,NCBI,target,1,0,0,0
DB00222,6833,Glimepiride,DrugBank,ABCC8,NCBI,target,1,0,0,0
DB00227,3066,Lovastatin,DrugBank,HDAC2,NCBI,target,1,0,0,0
DB00227,3156,Lovastatin,DrugBank,HMGCR,NCBI,target,1,0,0,0
DB00228,116443,Enflurane,DrugBank,GRIN3A,NCBI,target,1,0,0,0
DB00228,2554,Enflurane,DrugBank,GABRA1,NCBI,target,1,0,0,0
DB00228,2555,Enflurane,DrugBank,GABRA2,NCBI,target,1,0,0,0
DB00228,2556,Enflurane,DrugBank,GABRA3,NCBI,target,1,0,0,0
DB00228,2557,Enflurane,DrugBank,GABRA4,NCBI,target,1,0,0,0
DB00228,2558,Enflurane,DrugBank,GABRA5,NCBI,target,1,0,0,0
DB00228,2559,Enflurane,DrugBank,GABRA6,NCBI,target,1,0,0,0
DB00228,2560,Enflurane,DrugBank,GABRB1,NCBI,target,1,0,0,0
DB00228,2561,Enflurane,DrugBank,GABRB2,NCBI,target,1,0,0,0
DB00228,2562,Enflurane,DrugBank,GABRB3,NCBI,target,1,0,0,0
DB00228,2563,Enflurane,DrugBank,GABRD,NCBI,target,1,0,0,0
DB00228,2565,Enflurane,DrugBank,GABRG1,NCBI,target,1,0,0,0
DB00228,2566,Enflurane,DrugBank,GABRG2,NCBI,target,1,0,0,0
DB00228,2567,Enflurane,DrugBank,GABRG3,NCBI,target,1,0,0,0
DB00228,2568,Enflurane,DrugBank,GABRP,NCBI,target,1,0,0,0
DB00228,2902,Enflurane,DrugBank,GRIN1,NCBI,target,1,0,0,0
DB00228,2903,Enflurane,DrugBank,GRIN2A,NCBI,target,1,0,0,0
DB00228,2904,Enflurane,DrugBank,GRIN2B,NCBI,target,1,0,0,0
DB00228,2905,Enflurane,DrugBank,GRIN2C,NCBI,target,1,0,0,0
DB00228,2906,Enflurane,DrugBank,GRIN2D,NCBI,target,1,0,0,0
DB00228,55879,Enflurane,DrugBank,GABRQ,NCBI,target,1,0,0,0
DB00228,773,Enflurane,DrugBank,CACNA1A,NCBI,target,1,0,0,0
DB00228,775,Enflurane,DrugBank,CACNA1C,NCBI,target,1,0,0,0
DB00228,776,Enflurane,DrugBank,CACNA1D,NCBI,target,1,0,0,0
DB00228,779,Enflurane,DrugBank,CACNA1S,NCBI,target,1,0,0,0
DB00228,783,Enflurane,DrugBank,CACNB2,NCBI,target,1,0,0,0
DB00228,785,Enflurane,DrugBank,CACNB4,NCBI,target,1,0,0,0
DB00228,8912,Enflurane,DrugBank,CACNA1H,NCBI,target,1,0,0,0
DB00228,9254,Enflurane,DrugBank,CACNA2D2,NCBI,target,1,0,0,0
DB00231,2554,Temazepam,DrugBank,GABRA1,NCBI,target,1,0,0,0
DB00231,2555,Temazepam,DrugBank,GABRA2,NCBI,target,1,0,0,0
DB00231,2556,Temazepam,DrugBank,GABRA3,NCBI,target,1,0,0,0
DB00231,2557,Temazepam,DrugBank,GABRA4,NCBI,target,1,0,0,0
DB00231,2558,Temazepam,DrugBank,GABRA5,NCBI,target,1,0,0,0
DB00231,2559,Temazepam,DrugBank,GABRA6,NCBI,target,1,0,0,0
DB00231,2560,Temazepam,DrugBank,GABRB1,NCBI,target,1,0,0,0
DB00231,2561,Temazepam,DrugBank,GABRB2,NCBI,target,1,0,0,0
DB00231,2562,Temazepam,DrugBank,GABRB3,NCBI,target,1,0,0,0
DB00231,2563,Temazepam,DrugBank,GABRD,NCBI,target,1,0,0,0
DB00231,2565,Temazepam,DrugBank,GABRG1,NCBI,target,1,0,0,0
DB00231,2566,Temazepam,DrugBank,GABRG2,NCBI,target,1,0,0,0
DB00231,2567,Temazepam,DrugBank,GABRG3,NCBI,target,1,0,0,0
DB00231,2568,Temazepam,DrugBank,GABRP,NCBI,target,1,0,0,0
DB00231,55879,Temazepam,DrugBank,GABRQ,NCBI,target,1,0,0,0
DB00233,240,Aminosalicylic acid,DrugBank,ALOX5,NCBI,target,1,0,0,0
DB00233,5743,Aminosalicylic acid,DrugBank,PTGS2,NCBI,target,1,0,0,0
DB00234,6530,Reboxetine,DrugBank,SLC6A2,NCBI,target,1,0,0,0
DB00235,5139,Milrinone,DrugBank,PDE3A,NCBI,target,1,0,0,0
DB00237,1135,Butabarbital,DrugBank,CHRNA2,NCBI,target,1,0,0,0
DB00237,1136,Butabarbital,DrugBank,CHRNA3,NCBI,target,1,0,0,0
DB00237,1137,Butabarbital,DrugBank,CHRNA4,NCBI,target,1,0,0,0
DB00237,1138,Butabarbital,DrugBank,CHRNA5,NCBI,target,1,0,0,0
DB00237,1139,Butabarbital,DrugBank,CHRNA7,NCBI,target,1,0,0,0
DB00237,1141,Butabarbital,DrugBank,CHRNB2,NCBI,target,1,0,0,0
DB00237,1142,Butabarbital,DrugBank,CHRNB3,NCBI,target,1,0,0,0
DB00237,1143,Butabarbital,DrugBank,CHRNB4,NCBI,target,1,0,0,0
DB00237,2554,Butabarbital,DrugBank,GABRA1,NCBI,target,1,0,0,0
DB00237,2555,Butabarbital,DrugBank,GABRA2,NCBI,target,1,0,0,0
DB00237,2556,Butabarbital,DrugBank,GABRA3,NCBI,target,1,0,0,0
DB00237,2557,Butabarbital,DrugBank,GABRA4,NCBI,target,1,0,0,0
DB00237,2558,Butabarbital,DrugBank,GABRA5,NCBI,target,1,0,0,0
DB00237,2559,Butabarbital,DrugBank,GABRA6,NCBI,target,1,0,0,0
DB00237,2560,Butabarbital,DrugBank,GABRB1,NCBI,target,1,0,0,0
DB00237,2561,Butabarbital,DrugBank,GABRB2,NCBI,target,1,0,0,0
DB00237,2562,Butabarbital,DrugBank,GABRB3,NCBI,target,1,0,0,0
DB00237,2563,Butabarbital,DrugBank,GABRD,NCBI,target,1,0,0,0
DB00237,2565,Butabarbital,DrugBank,GABRG1,NCBI,target,1,0,0,0
DB00237,2566,Butabarbital,DrugBank,GABRG2,NCBI,target,1,0,0,0
DB00237,2567,Butabarbital,DrugBank,GABRG3,NCBI,target,1,0,0,0
DB00237,2568,Butabarbital,DrugBank,GABRP,NCBI,target,1,0,0,0
DB00237,2890,Butabarbital,DrugBank,GRIA1,NCBI,target,1,0,0,0
DB00237,2891,Butabarbital,DrugBank,GRIA2,NCBI,target,1,0,0,0
DB00237,2892,Butabarbital,DrugBank,GRIA3,NCBI,target,1,0,0,0
DB00237,2893,Butabarbital,DrugBank,GRIA4,NCBI,target,1,0,0,0
DB00237,2897,Butabarbital,DrugBank,GRIK1,NCBI,target,1,0,0,0
DB00237,2898,Butabarbital,DrugBank,GRIK2,NCBI,target,1,0,0,0
DB00237,2899,Butabarbital,DrugBank,GRIK3,NCBI,target,1,0,0,0
DB00237,2900,Butabarbital,DrugBank,GRIK4,NCBI,target,1,0,0,0
DB00237,2901,Butabarbital,DrugBank,GRIK5,NCBI,target,1,0,0,0
DB00237,55879,Butabarbital,DrugBank,GABRQ,NCBI,target,1,0,0,0
DB00237,8973,Butabarbital,DrugBank,CHRNA6,NCBI,target,1,0,0,0
DB00241,1137,Butalbital,DrugBank,CHRNA4,NCBI,target,1,0,0,0
DB00241,1139,Butalbital,DrugBank,CHRNA7,NCBI,target,1,0,0,0
DB00241,2554,Butalbital,DrugBank,GABRA1,NCBI,target,1,0,0,0
DB00241,2555,Butalbital,DrugBank,GABRA2,NCBI,target,1,0,0,0
DB00241,2556,Butalbital,DrugBank,GABRA3,NCBI,target,1,0,0,0
DB00241,2557,Butalbital,DrugBank,GABRA4,NCBI,target,1,0,0,0
DB00241,2558,Butalbital,DrugBank,GABRA5,NCBI,target,1,0,0,0
DB00241,2559,Butalbital,DrugBank,GABRA6,NCBI,target,1,0,0,0
DB00241,2560,Butalbital,DrugBank,GABRB1,NCBI,target,1,0,0,0
DB00241,2561,Butalbital,DrugBank,GABRB2,NCBI,target,1,0,0,0
DB00241,2562,Butalbital,DrugBank,GABRB3,NCBI,target,1,0,0,0
DB00241,2563,Butalbital,DrugBank,GABRD,NCBI,target,1,0,0,0
DB00241,2565,Butalbital,DrugBank,GABRG1,NCBI,target,1,0,0,0
DB00241,2566,Butalbital,DrugBank,GABRG2,NCBI,target,1,0,0,0
DB00241,2567,Butalbital,DrugBank,GABRG3,NCBI,target,1,0,0,0
DB00241,2568,Butalbital,DrugBank,GABRP,NCBI,target,1,0,0,0
DB00241,2891,Butalbital,DrugBank,GRIA2,NCBI,target,1,0,0,0
DB00241,2898,Butalbital,DrugBank,GRIK2,NCBI,target,1,0,0,0
DB00241,55879,Butalbital,DrugBank,GABRQ,NCBI,target,1,0,0,0
DB00243,146,Ranolazine,DrugBank,ADRA1D,NCBI,target,1,0,0,0
DB00243,147,Ranolazine,DrugBank,ADRA1B,NCBI,target,1,0,0,0
DB00243,148,Ranolazine,DrugBank,ADRA1A,NCBI,target,1,0,0,0
DB00243,153,Ranolazine,DrugBank,ADRB1,NCBI,target,1,0,0,0
DB00243,3759,Ranolazine,DrugBank,KCNJ2,NCBI,target,1,0,0,0
DB00243,6323,Ranolazine,DrugBank,SCN1A,NCBI,target,1,0,0,0
DB00243,6324,Ranolazine,DrugBank,SCN1B,NCBI,target,1,0,0,0
DB00243,6326,Ranolazine,DrugBank,SCN2A,NCBI,target,1,0,0,0
DB00243,6328,Ranolazine,DrugBank,SCN3A,NCBI,target,1,0,0,0
DB00243,6330,Ranolazine,DrugBank,SCN4B,NCBI,target,1,0,0,0
DB00243,6331,Ranolazine,DrugBank,SCN5A,NCBI,target,1,0,0,0
DB00243,6334,Ranolazine,DrugBank,SCN8A,NCBI,target,1,0,0,0
DB00243,6335,Ranolazine,DrugBank,SCN9A,NCBI,target,1,0,0,0
DB00243,6336,Ranolazine,DrugBank,SCN10A,NCBI,target,1,0,0,0
DB00243,775,Ranolazine,DrugBank,CACNA1C,NCBI,target,1,0,0,0
DB00243,776,Ranolazine,DrugBank,CACNA1D,NCBI,target,1,0,0,0
DB00243,779,Ranolazine,DrugBank,CACNA1S,NCBI,target,1,0,0,0
DB00243,783,Ranolazine,DrugBank,CACNB2,NCBI,target,1,0,0,0
DB00243,785,Ranolazine,DrugBank,CACNB4,NCBI,target,1,0,0,0
DB00244,240,Mesalazine,DrugBank,ALOX5,NCBI,target,1,0,0,0
DB00244,4353,Mesalazine,DrugBank,MPO,NCBI,target,1,0,0,0
DB00244,5468,Mesalazine,DrugBank,PPARG,NCBI,target,1,0,0,0
DB00244,5742,Mesalazine,DrugBank,PTGS1,NCBI,target,1,0,0,0
DB00244,5743,Mesalazine,DrugBank,PTGS2,NCBI,target,1,0,0,0
DB00245,1128,Benzatropine,DrugBank,CHRM1,NCBI,target,1,0,0,0
DB00245,3269,Benzatropine,DrugBank,HRH1,NCBI,target,1,0,0,0
DB00245,6530,Benzatropine,DrugBank,SLC6A2,NCBI,target,1,0,0,0
DB00245,6531,Benzatropine,DrugBank,SLC6A3,NCBI,target,1,0,0,0
DB00245,6532,Benzatropine,DrugBank,SLC6A4,NCBI,target,1,0,0,0
DB00246,1128,Ziprasidone,DrugBank,CHRM1,NCBI,target,1,0,0,0
DB00246,1129,Ziprasidone,DrugBank,CHRM2,NCBI,target,1,0,0,0
